#   lamda     c0    c1      c2
 196.4942    3.5401E+01    8.8092E-03    1.3434E-04
 196.5042    3.5371E+01    8.1311E-03    1.2551E-04
 196.5142    3.5356E+01    8.3466E-03    1.2888E-04
 196.5242    3.5337E+01    9.0006E-03    1.4822E-04
 196.5342    3.5298E+01    9.4297E-03    1.7125E-04
 196.5442    3.5284E+01    8.2841E-03    1.4280E-04
 196.5542    3.5245E+01    7.3377E-03    1.3082E-04
 196.5642    3.5230E+01    6.5850E-03    1.1417E-04
 196.5742    3.5218E+01    6.4353E-03    1.1428E-04
 196.5842    3.5216E+01    6.3744E-03    1.0543E-04
 196.5942    3.5225E+01    8.1448E-03    1.3223E-04
 196.6042    3.5175E+01    8.2810E-03    1.5147E-04
 196.6142    3.5132E+01    8.8202E-03    1.7478E-04
 196.6242    3.5106E+01    9.2240E-03    1.7763E-04
 196.6342    3.5102E+01    1.0011E-02    1.8660E-04
 196.6442    3.5125E+01    1.0100E-02    1.7293E-04
 196.6542    3.5094E+01    7.7434E-03    1.3107E-04
 196.6642    3.5093E+01    6.4667E-03    9.5050E-05
 196.6742    3.5088E+01    6.2177E-03    8.8331E-05
 196.6842    3.5041E+01    5.7075E-03    9.3161E-05
 196.6942    3.5002E+01    5.9093E-03    1.0434E-04
 196.7042    3.4961E+01    6.3306E-03    1.1615E-04
 196.7142    3.4928E+01    7.0892E-03    1.3945E-04
 196.7242    3.4912E+01    7.7615E-03    1.5515E-04
 196.7342    3.4891E+01    7.3643E-03    1.4440E-04
 196.7442    3.4868E+01    7.5275E-03    1.4931E-04
 196.7543    3.4865E+01    7.2768E-03    1.3864E-04
 196.7643    3.4866E+01    9.2778E-03    1.6473E-04
 196.7743    3.4846E+01    9.7935E-03    1.7319E-04
 196.7843    3.4846E+01    8.9673E-03    1.4375E-04
 196.7943    3.4837E+01    9.4381E-03    1.4858E-04
 196.8043    3.4831E+01    8.4281E-03    1.2864E-04
 196.8143    3.4862E+01    8.3735E-03    1.1259E-04
 196.8243    3.4849E+01    8.2369E-03    1.1457E-04
 196.8343    3.4858E+01    7.7062E-03    9.8121E-05
 196.8443    3.4846E+01    8.7377E-03    1.1999E-04
 196.8543    3.4804E+01    9.5257E-03    1.4826E-04
 196.8643    3.4786E+01    9.8009E-03    1.4898E-04
 196.8743    3.4752E+01    9.9828E-03    1.5872E-04
 196.8843    3.4754E+01    1.0874E-02    1.7153E-04
 196.8943    3.4716E+01    9.8861E-03    1.5862E-04
 196.9043    3.4675E+01    9.8173E-03    1.6913E-04
 196.9143    3.4661E+01    9.8179E-03    1.6878E-04
 196.9243    3.4687E+01    1.0500E-02    1.6549E-04
 196.9343    3.4678E+01    1.1031E-02    1.7445E-04
 196.9443    3.4681E+01    1.1492E-02    1.7904E-04
 196.9543    3.4673E+01    1.0477E-02    1.5769E-04
 196.9643    3.4650E+01    1.0392E-02    1.6222E-04
 196.9743    3.4625E+01    9.7350E-03    1.5009E-04
 196.9843    3.4613E+01    1.0529E-02    1.6741E-04
 196.9943    3.4569E+01    1.0923E-02    1.8276E-04
 197.0043    3.4519E+01    9.9988E-03    1.8173E-04
 197.0143    3.4482E+01    8.9010E-03    1.6698E-04
 197.0243    3.4458E+01    8.4812E-03    1.6232E-04
 197.0343    3.4449E+01    8.7466E-03    1.6150E-04
 197.0443    3.4456E+01    8.8188E-03    1.4980E-04
 197.0543    3.4467E+01    8.3044E-03    1.2318E-04
 197.0643    3.4447E+01    7.9660E-03    1.2312E-04
